Insurance Policy,,,,,,,Managed by : Rohit Kapoor,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Policy Number,Start Date,Last Paid Date,Tenure (Years),Date of Purchase,Customer ID,Sum Assured INR/Coverage Amount,Premium Amount,Payment Frequency,Loan Eligible,Loan Amount Allowed,Underwriting expenses,Sales Agent Code,Purchase Month,Purchase Quarter,Purchase Year,Policy Anniversary Date,Claim ID,Policy Type Code,Policy Code,Policy Status,State,RM ID,Zonal Manager ID
TRS-POL-265391,21-12-2022,21-Dec-25,20,21-Dec-22,CUST-483592,1184697.98,25882.43,Annually,No,562697.53,4792.46,AGT-6578,December,Q4,2022,21-Dec-23,CLM-230620,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-317255,08-03-2024,08-Mar-24,20,27-Mar-25,CUST-578791,493070.23,99557.97,Annually,Yes,154980.03,9010.82,AGT-6578,March,Q1,2025,27-Mar-26,CLM-282969,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-708480,25-01-2024,25-Jan-25,20,25-Jan-24,CUST-541231,1569504.24,53478.81,Monthly,Yes,474719.57,4137.29,AGT-6578,January,Q1,2024,25-Jan-25,CLM-345343,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-563468,22-12-2023,22-Dec-25,20,22-Dec-23,CUST-757235,491848.9,92553.58,Annually,Yes,277744,8762.71,AGT-6578,December,Q4,2023,22-Dec-24,CLM-857484,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-799138,09-06-2017,09-Jun-25,20,09-Jun-17,CUST-221834,1885143.74,93979.29,Quarterly,No,727343.7,5369.76,AGT-6578,June,Q2,2017,09-Jun-18,CLM-980073,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-815347,19-01-2024,19-Jan-25,20,19-Jan-24,CUST-441301,1651460.6,53414.88,Annually,Yes,513299.27,3209.69,AGT-6578,January,Q1,2024,19-Jan-25,CLM-870328,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-161147,08-03-2024,08-Mar-24,20,20-Apr-25,CUST-114960,954941.34,10426.03,Quarterly,No,477330.83,5087.14,AGT-6578,April,Q2,2025,20-Apr-26,CLM-729784,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-765871,12-05-2021,12-May-25,20,12-May-21,CUST-360696,1765342.5,28163.15,Quarterly,Yes,709540.86,825.98,AGT-6578,May,Q2,2021,12-May-22,CLM-422721,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-493539,30-11-2022,30-Nov-25,20,30-Nov-22,CUST-792550,1560504.02,42515.55,Monthly,Yes,818834.44,5990.78,AGT-6578,November,Q4,2022,30-Nov-23,CLM-634510,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-401974,10-08-2024,10-Aug-25,20,10-Aug-24,CUST-563155,318641.17,93810.46,Annually,No,124514.67,6673.17,AGT-6578,August,Q3,2024,10-Aug-25,CLM-749597,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-134056,11-05-2019,11-May-25,20,11-May-19,CUST-110706,1593297.87,69132.93,Annually,No,486475.86,7223.71,AGT-6578,May,Q2,2019,11-May-20,CLM-965387,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-746555,15-02-2021,15-Feb-25,20,15-Feb-21,CUST-876796,503342.8,37813.58,Quarterly,Yes,192460.93,6045.14,AGT-6578,February,Q1,2021,15-Feb-22,CLM-395854,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-110143,31-07-2020,31-Jul-25,20,31-Jul-20,CUST-416715,1994578.66,49539.75,Quarterly,No,766953.74,3456.37,AGT-6578,July,Q3,2020,31-Jul-21,CLM-174788,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-742236,25-05-2017,25-May-25,20,25-May-17,CUST-964599,1170360.87,54964.27,Quarterly,Yes,686872.78,2759.54,AGT-6578,May,Q2,2017,25-May-18,CLM-986572,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-660097,06-04-2022,06-Apr-25,20,06-Apr-22,CUST-733480,510508,80426.55,Annually,Yes,208257.53,4720.63,AGT-6578,April,Q2,2022,06-Apr-23,CLM-405702,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-893525,09-11-2016,09-Nov-25,20,09-Nov-16,CUST-639875,1706808.48,90879.8,Quarterly,Yes,758762.95,2235.17,AGT-6578,November,Q4,2016,09-Nov-17,CLM-143513,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-128995,08-03-2024,08-Mar-24,20,30-Jan-25,CUST-970642,507637.72,5973.76,Annually,No,168945.86,632.43,AGT-6578,January,Q1,2025,30-Jan-26,CLM-278077,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-131615,07-05-2021,07-May-25,20,07-May-21,CUST-322698,403030.61,85474.72,Annually,No,140134.63,3262.65,AGT-6578,May,Q2,2021,07-May-22,CLM-245856,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-853945,15-05-2023,15-May-25,20,15-May-23,CUST-398154,1337453.99,9443.05,Monthly,No,445763.27,2573.93,AGT-6578,May,Q2,2023,15-May-24,CLM-680242,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-238857,10-11-2021,10-Nov-25,20,10-Nov-21,CUST-506622,881195,54676.58,Quarterly,Yes,474843.17,7732.38,AGT-6578,November,Q4,2021,10-Nov-22,CLM-949943,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-457973,25-04-2017,25-Apr-25,20,25-Apr-17,CUST-695399,941533.88,76869.36,Quarterly,Yes,450873.58,5949.41,AGT-6578,April,Q2,2017,25-Apr-18,CLM-121752,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-289467,03-09-2021,03-Sep-25,20,03-Sep-21,CUST-511838,1153193.38,45968.67,Annually,No,647218.32,9035.68,AGT-6578,September,Q3,2021,03-Sep-22,CLM-586106,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-923733,25-11-2020,25-Nov-25,20,25-Nov-20,CUST-154959,1609786.44,13847.54,Monthly,No,720065.25,9247.78,AGT-6578,November,Q4,2020,25-Nov-21,CLM-563741,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-632071,09-05-2017,09-May-25,20,09-May-17,CUST-288084,1312810.1,93534.21,Annually,Yes,509003.46,3322.46,AGT-6578,May,Q2,2017,09-May-18,CLM-740017,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-714875,02-07-2024,02-Jul-25,20,02-Jul-24,CUST-243562,963102.51,14727.35,Monthly,No,405787.14,5155.46,AGT-6578,July,Q3,2024,02-Jul-25,CLM-867518,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-221108,27-10-2021,27-Oct-25,20,27-Oct-21,CUST-135050,1804034.73,56181.38,Monthly,No,690823.47,907.09,AGT-6578,October,Q4,2021,27-Oct-22,CLM-822796,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-496123,05-05-2017,05-May-25,20,05-May-17,CUST-763824,1215875.25,85560.18,Quarterly,No,595322.97,1087.44,AGT-6578,May,Q2,2017,05-May-18,CLM-367736,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-712881,06-03-2018,06-Mar-25,20,06-Mar-18,CUST-504196,1177813.49,79170.79,Quarterly,Yes,693592.84,5736.54,AGT-6578,March,Q1,2018,06-Mar-19,CLM-457308,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-503524,07-09-2020,07-Sep-25,20,07-Sep-20,CUST-602128,868589.09,20039.71,Quarterly,No,471006.27,4439.05,AGT-6578,September,Q3,2020,07-Sep-21,CLM-310879,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-998927,13-03-2018,13-Mar-25,20,13-Mar-18,CUST-600474,300821.73,60737.7,Quarterly,Yes,123715.58,9565.17,AGT-6578,March,Q1,2018,13-Mar-19,CLM-706716,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-854397,05-09-2017,05-Sep-25,20,05-Sep-17,CUST-822675,836835.36,69478.5,Monthly,No,406584.88,4857.17,AGT-6578,September,Q3,2017,05-Sep-18,CLM-307372,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-682704,18-04-2022,18-Apr-25,20,18-Apr-22,CUST-307402,659435.12,23544.84,Monthly,Yes,296879.75,709.9,AGT-6578,April,Q2,2022,18-Apr-23,CLM-711320,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-301196,25-04-2023,25-Apr-25,20,25-Apr-23,CUST-242681,1386320.94,76673.39,Monthly,No,586196.4,3793.25,AGT-6578,April,Q2,2023,25-Apr-24,CLM-777235,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-209664,26-05-2023,26-May-25,20,26-May-23,CUST-299030,1664685.2,40758.29,Annually,Yes,593988.28,7710.57,AGT-6578,May,Q2,2023,26-May-24,CLM-639923,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-701067,12-03-2024,12-Mar-25,20,12-Mar-24,CUST-121377,590918.69,19060.82,Quarterly,Yes,276347.9,9921.49,AGT-6578,March,Q1,2024,12-Mar-25,CLM-652187,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-815418,29-01-2020,29-Jan-25,20,29-Jan-20,CUST-614619,697922.57,18020.51,Monthly,No,336542.43,2964.22,AGT-6578,January,Q1,2020,29-Jan-21,CLM-957885,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-232557,18-06-2016,18-Jun-25,20,18-Jun-16,CUST-322262,908776,34406.16,Annually,Yes,413958.03,7485.14,AGT-6578,June,Q2,2016,18-Jun-17,CLM-287969,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-507409,29-09-2015,29-Sep-25,20,29-Sep-15,CUST-812035,1120240.93,77952.57,Annually,Yes,401973.32,9363.28,AGT-6578,September,Q3,2015,29-Sep-16,CLM-159263,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-572196,22-09-2024,22-Sep-25,20,22-Sep-24,CUST-615104,1969454.52,52853.43,Annually,No,1152768.47,7236.05,AGT-6578,September,Q3,2024,22-Sep-25,CLM-727579,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-852612,09-03-2019,09-Mar-25,20,09-Mar-19,CUST-277506,1339762.33,16467.98,Quarterly,Yes,618418.23,6297.27,AGT-6578,March,Q1,2019,09-Mar-20,CLM-562844,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-410482,24-09-2017,24-Sep-25,20,24-Sep-17,CUST-533539,830555.32,38905.39,Annually,No,337026.73,3644.02,AGT-6578,September,Q3,2017,24-Sep-18,CLM-398089,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-643486,02-06-2018,02-Jun-25,20,02-Jun-18,CUST-707164,534787.32,66236.17,Monthly,No,206717,8698.3,AGT-6578,June,Q2,2018,02-Jun-19,CLM-182212,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-126928,02-03-2022,02-Mar-25,20,02-Mar-22,CUST-832793,1129471.91,71920.95,Monthly,Yes,373151.59,9611.53,AGT-6578,March,Q1,2022,02-Mar-23,CLM-233903,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-425291,14-11-2017,14-Nov-25,20,14-Nov-17,CUST-997732,1076896.9,26486.72,Quarterly,No,599428.35,5824.62,AGT-6578,November,Q4,2017,14-Nov-18,CLM-546172,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-647160,27-12-2022,27-Dec-25,20,27-Dec-22,CUST-704420,1820637.7,39656.87,Quarterly,No,959923.32,7288.01,AGT-6578,December,Q4,2022,27-Dec-23,CLM-734331,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-531894,09-11-2017,09-Nov-25,20,09-Nov-17,CUST-354626,1934436.22,50072.93,Monthly,No,954382.87,2407.15,AGT-6578,November,Q4,2017,09-Nov-18,CLM-113735,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-715069,23-12-2015,23-Dec-25,20,23-Dec-15,CUST-213536,1222534.27,70345.73,Monthly,Yes,413712.93,6283.47,AGT-6578,December,Q4,2015,23-Dec-16,CLM-892454,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-469356,15-09-2022,15-Sep-25,20,15-Sep-22,CUST-195155,462305.07,16466.4,Quarterly,No,146924.09,6352.15,AGT-6578,September,Q3,2022,15-Sep-23,CLM-214521,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-141813,25-05-2023,25-May-25,20,25-May-23,CUST-888562,1800611.94,77872.6,Quarterly,Yes,586488.35,5447.68,AGT-6578,May,Q2,2023,25-May-24,CLM-646084,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-896978,29-05-2018,29-May-25,20,29-May-18,CUST-890873,162463.44,90367.98,Monthly,Yes,54194.34,9204.91,AGT-6578,May,Q2,2018,29-May-19,CLM-732727,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-191326,18-02-2020,18-Feb-25,20,18-Feb-20,CUST-464208,184136.1,51620.24,Quarterly,Yes,58899.18,4778.44,AGT-6578,February,Q1,2020,18-Feb-21,CLM-584821,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-838425,30-07-2024,30-Jul-25,20,30-Jul-24,CUST-406991,985950.8,19153.63,Annually,No,538782.86,2707.49,AGT-6578,July,Q3,2024,30-Jul-25,CLM-828377,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-782665,17-10-2018,17-Oct-25,20,17-Oct-18,CUST-832953,1240675.38,65238.41,Quarterly,No,667013.44,4253.6,AGT-6578,October,Q4,2018,17-Oct-19,CLM-184647,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-219261,25-07-2024,25-Jul-25,20,25-Jul-24,CUST-804855,521223.48,56843.83,Quarterly,Yes,209780.27,1784.02,AGT-6578,July,Q3,2024,25-Jul-25,CLM-736686,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-879695,14-03-2024,14-Mar-25,20,14-Mar-24,CUST-913880,861347.97,41270.19,Quarterly,No,332328.78,5524.15,AGT-6578,March,Q1,2024,14-Mar-25,CLM-863167,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-434881,18-06-2018,18-Jun-25,20,18-Jun-18,CUST-944474,1042816.89,8601.16,Quarterly,Yes,463021.83,6963.81,AGT-6578,June,Q2,2018,18-Jun-19,CLM-407519,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-197803,20-02-2018,20-Feb-25,20,20-Feb-18,CUST-556626,616697.37,56856.04,Monthly,No,253502.09,8035.73,AGT-6578,February,Q1,2018,20-Feb-19,CLM-396329,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-271019,01-08-2022,01-Aug-25,20,01-Aug-22,CUST-678002,1374035.17,12713.13,Annually,Yes,724607.73,528.62,AGT-6578,August,Q3,2022,01-Aug-23,CLM-624379,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-924287,23-02-2023,23-Feb-25,20,23-Feb-23,CUST-496071,411920.52,27249.04,Monthly,No,142592.85,7523.05,AGT-6578,February,Q1,2023,23-Feb-24,CLM-386203,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-581492,02-11-2022,02-Nov-25,20,02-Nov-22,CUST-640067,1983976.29,6275.4,Quarterly,Yes,881741.65,1975.39,AGT-6578,November,Q4,2022,02-Nov-23,CLM-619783,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-614595,07-02-2019,07-Feb-25,20,07-Feb-19,CUST-269436,1331221.89,41164.8,Monthly,Yes,429130.56,4370.13,AGT-6578,February,Q1,2019,07-Feb-20,CLM-252498,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-410300,08-11-2017,08-Nov-25,20,08-Nov-17,CUST-377918,1846954.64,15030.62,Quarterly,Yes,1029118.17,5654.99,AGT-6578,November,Q4,2017,08-Nov-18,CLM-366719,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-665183,11-05-2017,11-May-25,20,11-May-17,CUST-683201,1727649.77,6075.45,Quarterly,No,955893.62,6918.99,AGT-6578,May,Q2,2017,11-May-18,CLM-478194,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-413725,03-09-2020,03-Sep-25,20,03-Sep-20,CUST-161547,812021.05,72489.69,Annually,Yes,318428.45,1279.86,AGT-6578,September,Q3,2020,03-Sep-21,CLM-931621,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-903963,17-11-2021,17-Nov-25,20,17-Nov-21,CUST-495441,1594942.81,68840.24,Monthly,No,538330.94,4703.99,AGT-6578,November,Q4,2021,17-Nov-22,CLM-996362,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-397700,02-10-2018,02-Oct-25,20,02-Oct-18,CUST-582376,826196.41,6983.07,Quarterly,No,370623.05,980.99,AGT-6578,October,Q4,2018,02-Oct-19,CLM-448018,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-375639,04-11-2018,04-Nov-25,20,04-Nov-18,CUST-530564,1584733.93,9498.83,Monthly,No,869428.5,4044.49,AGT-6578,November,Q4,2018,04-Nov-19,CLM-422436,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-940635,22-07-2017,22-Jul-25,20,22-Jul-17,CUST-712309,1687518.68,34216.72,Monthly,Yes,574944,4174.35,AGT-6578,July,Q3,2017,22-Jul-18,CLM-533059,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-844660,15-02-2017,15-Feb-25,20,15-Feb-17,CUST-229952,1009869.55,7570.34,Quarterly,No,595099.24,592.9,AGT-6578,February,Q1,2017,15-Feb-18,CLM-112370,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-833442,02-12-2024,02-Dec-25,20,02-Dec-24,CUST-492913,1895889.89,28677.16,Quarterly,Yes,587956.1,501.27,AGT-6578,December,Q4,2024,02-Dec-25,CLM-560503,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-929730,02-06-2018,02-Jun-25,20,02-Jun-18,CUST-894944,346606.44,85617.49,Quarterly,Yes,201932.46,2146.16,AGT-6578,June,Q2,2018,02-Jun-19,CLM-995059,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-147673,09-10-2015,09-Oct-25,20,09-Oct-15,CUST-795389,849886.33,26416.01,Monthly,No,476945.71,667.96,AGT-6578,October,Q4,2015,09-Oct-16,CLM-205645,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-875061,29-07-2023,29-Jul-25,20,29-Jul-23,CUST-338462,628520.92,11924.31,Monthly,Yes,326336.39,1886.8,AGT-6578,July,Q3,2023,29-Jul-24,CLM-727897,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-553766,06-07-2021,06-Jul-25,20,06-Jul-21,CUST-955394,1730591.43,77511.7,Annually,Yes,964369.93,7574.76,AGT-6578,July,Q3,2021,06-Jul-22,CLM-612870,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-366593,17-03-2020,17-Mar-25,20,17-Mar-20,CUST-747386,164222.43,53498.28,Annually,Yes,82573.79,5303.73,AGT-6578,March,Q1,2020,17-Mar-21,CLM-794795,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-461520,06-04-2022,06-Apr-25,20,06-Apr-22,CUST-587883,1804654.89,84659.22,Annually,No,982995.19,5541.44,AGT-6578,April,Q2,2022,06-Apr-23,CLM-226596,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-816686,15-04-2020,15-Apr-25,20,15-Apr-20,CUST-533605,1760046.87,64324.41,Monthly,Yes,680095.09,518.88,AGT-6578,April,Q2,2020,15-Apr-21,CLM-122908,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-102322,15-06-2024,15-Jun-25,20,15-Jun-24,CUST-906194,263366.93,33230.45,Annually,Yes,117847.16,3433.94,AGT-6578,June,Q2,2024,15-Jun-25,CLM-112921,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-135871,04-05-2023,04-May-25,20,04-May-23,CUST-295717,232520.76,28069.02,Annually,Yes,132606.47,623.15,AGT-6578,May,Q2,2023,04-May-24,CLM-798588,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
TRS-POL-543765,02-08-2018,02-Aug-25,20,02-Aug-18,CUST-677330,226128.66,41888.26,Annually,No,69278.04,1877.23,AGT-6578,August,Q3,2018,02-Aug-19,CLM-318738,TR-UNCD988,UGP-TRCD-9834,Active,Delhi,RMN7A3X1,ZMN8K2L1
